Bank_Ticker,Year,Quarter,Total_Assets_Billion,CET1_Ratio_Standardized,CET1_Ratio_Advanced,Interbank_Exposure_Billion,Derivative_Notional_Trillion
JPM,2023,Q4,3875.39,14.99,14.96,476.59,44.8
BAC,2023,Q4,3180.15,11.8,13.36,280.62,26.63
C,2023,Q4,2411.83,13.37,12.11,345.7,38.91
WFC,2023,Q4,1932.47,11.43,12.63,80.46,12.56
GS,2023,Q4,1641.59,14.35,14.95,421.57,38.67
MS,2023,Q4,1193.69,15.23,15.5,231.83,33.39
BK,2023,Q4,409.98,11.99,11.59,28.9,1.0
STT,2023,Q4,297.26,11.61,12.07,6.69,2.49
JPM,2022,Q4,3665.74,13.24,13.6,500.96,44.81
BAC,2022,Q4,3051.22,11.22,12.76,267.57,29.26
C,2022,Q4,2414.06,12.97,11.93,362.79,42.21
WFC,2022,Q4,1881.02,10.6,12.0,68.04,11.61
GS,2022,Q4,1441.8,15.02,14.42,412.89,33.79
MS,2022,Q4,1180.23,15.33,15.65,247.28,30.37
BK,2022,Q4,405.78,11.33,11.15,24.3,0.99
STT,2022,Q4,301.45,13.57,13.81,5.21,2.25
JPM,2021,Q4,3743.57,13.05,13.82,467.77,45.03
BAC,2021,Q4,3169.49,10.62,12.28,250.72,28.14
C,2021,Q4,2291.41,12.25,12.35,327.29,39.01
WFC,2021,Q4,1948.07,11.35,12.6,66.49,8.51
GS,2021,Q4,1463.99,13.57,14.55,384.64,38.24
MS,2021,Q4,1188.14,16.05,17.38,249.71,29.15
BK,2021,Q4,444.44,11.18,11.36,29.61,1.06
STT,2021,Q4,314.62,14.28,14.32,3.01,2.55
JPM,2020,Q4,3386.07,13.14,13.82,456.92,42.36
BAC,2020,Q4,2819.63,11.94,12.88,304.06,24.11
C,2020,Q4,2260.09,11.85,11.52,294.71,37.0
WFC,2020,Q4,1955.16,11.59,11.94,63.28,8.32
GS,2020,Q4,1163.04,13.84,13.14,250.27,34.55
MS,2020,Q4,1115.86,17.36,17.67,228.62,28.92
BK,2020,Q4,469.63,13.35,13.14,30.91,0.94
STT,2020,Q4,314.71,11.83,12.92,3.11,2.56
JPM,2019,Q4,2687.78,12.39,13.43,388.92,42.29
BAC,2019,Q4,2434.08,11.17,11.53,274.6,26.91
C,2019,Q4,1951.16,11.79,12.06,251.32,36.77
WFC,2019,Q4,1927.56,11.14,11.91,104.97,11.46
GS,2019,Q4,993.0,13.28,13.74,221.47,35.73
MS,2019,Q4,895.43,16.43,16.93,194.77,29.6
BK,2019,Q4,381.51,12.47,11.52,30.18,1.1
STT,2019,Q4,245.61,11.74,11.7,1.49,2.32
